flight_id,window_id,window_start,window_end,time,elapsed_seconds,battery_status__voltage_v,battery_status__current_a,battery_status__remaining,system_power__voltage5V_v,vehicle_gps_position__eph,vehicle_gps_position__epv,vehicle_gps_position__jamming_indicator,vehicle_gps_position__vel_m_s,vehicle_gps_position__satellites_used,vehicle_local_position__x,vehicle_local_position__y,vehicle_local_position__z,vehicle_local_position__vz,vehicle_local_position__xy_valid,vehicle_attitude__rollspeed,vehicle_attitude__pitchspeed,vehicle_attitude__yawspeed,vehicle_attitude_setpoint__roll_body,vehicle_attitude_setpoint__pitch_body,vehicle_attitude_setpoint__thrust,sensor_combined__gyro_rad_0,sensor_combined__gyro_rad_1,sensor_combined__gyro_rad_2,sensor_combined__accelerometer_m_s2_0,sensor_combined__accelerometer_m_s2_1,sensor_combined__accelerometer_m_s2_2,sensor_baro__pressure,sensor_baro__altitude,estimator_status__vel_test_ratio,estimator_status__pos_test_ratio,estimator_status__hgt_test_ratio,estimator_status__innovation_check_flags,ekf2_innovations__vel_pos_innov_0,ekf2_innovations__vel_pos_innov_1,ekf2_innovations__vel_pos_innov_2,ekf2_innovations__vel_pos_innov_3,ekf2_innovations__vel_pos_innov_4,ekf2_innovations__vel_pos_innov_5,actuator_controls_0__control_0,actuator_controls_0__control_1,actuator_controls_0__control_2,actuator_controls_0__control_3,actuator_outputs__output_0,actuator_outputs__output_1,actuator_outputs__output_2,actuator_outputs__output_3,cpuload__load,cpuload__ram_usage
18_57_00,0,00:00:00:000,00:00:10:000,00:00:02:000,2,24.499664,0,0.90403706,5.2271485,12.213,17.675001,4,0.633,9,-0.097542256,-0.0786134,-0.055763733,-0.008957945,1,-0.000296006,2.76E-05,-0.038467042,-0.030668447,0.052757833,0,0.000118583,-0.00076667,-0.002292535,0.13354534,-0.064662844,-9.805551,1004.27997,74.936516,0,0.00108361,0.105136,64,0,0,0,0.000235558,0.00029815,-0.055140898,-0.020958614,0.015316376,0.006295236,0,1075,1075,1075,1075,0.824591,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:02:100,2.1,24.499664,0,0.90403706,5.2271485,12.221001,17.689001,4,0.74700004,9,-0.0974752,-0.07851867,-0.05221375,-0.006605722,1,-0.000327411,0.000349993,-0.038063873,-0.03106847,0.052756965,0,-0.000385141,0.001889339,-0.000685304,0.1379621,-0.06506525,-9.820344,1004.24,75.27189,0,0.001404725,0.011766927,64,0,0,0,0.00016129,0.000391826,-0.00617151,-0.020568984,0.015858173,0.006893941,0,1075,1075,1075,1075,0.824591,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:02:200,2.2,24.499664,0,0.90403706,5.2271485,12.221001,17.689001,4,0.74700004,9,-0.09743154,-0.07842335,-0.050048575,-0.006072153,1,4.12E-05,0.000136437,-0.036210656,-0.030726312,0.052757706,0,0.001314906,0.002104401,-0.001361547,0.14528625,-0.060837086,-9.795884,1004.31,74.68499,0,0.001404725,0.011766927,64,0,0,0,0.00016129,0.000391826,-0.00617151,-0.021311544,0.015533252,0.008021113,0,1075,1075,1075,1075,0.824591,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:02:300,2.3,24.626453,0,0.904603,5.231982,12.234,17.713001,4,0.19500001,9,-0.09736073,-0.07831704,-0.04693608,-0.004963487,1,9.95E-05,-0.000392354,-0.036658585,-0.030767271,0.052757617,0,-3.96E-05,0.00167863,-0.000262842,0.15653932,-0.055078857,-9.804296,1004.24,75.27189,0,0.000959269,0.08529762,64,0,0,0,0.000203118,0.000264443,-0.044726558,-0.02158994,0.016251037,0.006498665,0,1075,1075,1075,1075,0.824591,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:02:400,2.4,24.626453,0,0.904603,5.231982,12.234,17.713001,4,0.19500001,9,-0.097284675,-0.07821808,-0.04437765,-0.00433292,1,0.00148685,-0.000707546,-0.036407012,-0.030768083,0.05275762,0,0.001661453,0.000928341,-0.000734723,0.13461421,-0.07901933,-9.7859535,1004.3,74.76883,0,0.000959269,0.08529762,64,0,0,0,0.000203118,0.000264443,-0.044726558,-0.021060534,0.015928859,0.005311053,0,1075,1075,1075,1075,0.824591,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:02:500,2.5,24.626453,0,0.904603,5.231982,12.243001,17.730001,4,0.324,9,-0.09719091,-0.078160666,-0.043465044,-0.005028832,1,0.000949204,-0.00081515,-0.036580972,-0.03076808,0.05275762,0,0.000548592,0.001678018,-0.002194641,0.16065657,-0.07952956,-9.810557,1004.29,74.85267,0,0.000959269,0.026025314,64,0,0,0,0.000203118,0.000264443,0.013647616,-0.021009533,0.015392791,0.007463621,0,1075,1075,1075,1075,0.824591,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:02:600,2.6,24.626453,0,0.904603,5.231982,12.243001,17.730001,4,0.324,9,-0.09707997,-0.07815931,-0.042529896,-0.005099467,1,0.000362084,-0.000810141,-0.03837014,-0.030768074,0.052757617,0,-0.00113187,0.000617255,-0.000974088,0.15069164,-0.0881572,-9.809337,1004.32,74.60114,0,0.000959269,0.026025314,64,0,0,0,0.000203118,0.000264443,0.013647616,-0.02119827,0.015062334,0.007247606,0,1075,1075,1075,1075,0.824591,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:02:700,2.7,24.626453,0,0.904603,5.231982,12.253,17.749,5,0.50600004,9,-0.09694168,-0.0781953,-0.04234995,-0.005471408,1,0.000323807,-0.001565562,-0.036052924,-0.031838875,0.05275527,0,0.001204806,0.000721202,-0.001473425,0.14026086,-0.05470112,-9.786316,1004.29,74.85267,0,0.000959269,0.004025973,64,0,0,0,0.000203118,0.000264443,0.002110872,-0.020570926,0.015865514,0.007727328,0,1075,1075,1075,1075,0.824591,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:02:800,2.8,24.54843,0,0.9048142,5.240039,12.253,17.749,5,0.50600004,9,-0.096772246,-0.07830114,-0.040438615,-0.003702252,1,0.000520339,-0.001555711,-0.0367154,-0.0322963,0.05275423,0,-0.001201497,0.000722377,-0.002057532,0.12867765,-0.07988661,-9.810569,1004.3,74.76883,0,0.000959269,0.004025973,64,0,0,0,0.000203118,0.000264443,0.002110872,-0.02206761,0.015661241,0.00650514,0,1075,1075,1075,1075,0.824591,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:02:900,2.9,24.54843,0,0.9048142,5.240039,12.258,17.759,5,0.47100002,9,-0.09661046,-0.07842303,-0.03837139,-0.002788377,1,0.000535008,0.0002535,-0.034713276,-0.0322963,0.05275423,0,-6.49E-05,0.001784642,-0.001006056,0.12418446,-0.09098072,-9.815789,1004.3,74.76883,0,0.001246596,0.07231206,64,0,0,0,0.000131324,0.000346825,-0.037904568,-0.02202569,0.015886841,0.007446294,0,1075,1075,1075,1075,0.815484,0.9636475
